No.,Spec.,b,h,D,H,LamdaC,Ag,Circular,TypeCon,fcp,TypeL,RhoEf,Bars,EfrpL,ffuL,efuL,TypeH,Bars,Config,SpacPitch,EfrpH,ffuH,efuH,e,EoverD,Pexp
97,EC4-I,-,-,305,1500,20,73062,Yes,NWC,35,GFRP,2.18,8 No. 5,54.9,1289,2.4,GFRP,No. 3,Spiral,80,52.5,1171,2.25,200,66,354
98,C1-II,-,-,305,1500,20,73062,Yes,NWC,35,GFRP,3.27,12 No. 5,54.9,1289,2.4,GFRP,No. 3,Spiral,80,52.5,1171,2.25,0,0,2670
99,EC1-II,-,-,305,1500,20,73062,Yes,NWC,35,GFRP,3.27,12 No. 5,54.9,1289,2.4,GFRP,No. 3,Spiral,80,52.5,1171,2.25,25,8,2123
100,EC2-II,-,-,305,1500,20,73062,Yes,NWC,35,GFRP,3.27,12 No. 5,54.9,1289,2.4,GFRP,No. 3,Spiral,80,52.5,1171,2.25,50,16,1527
101,EC3-II,-,-,305,1500,20,73062,Yes,NWC,35,GFRP,3.27,12 No. 5,54.9,1289,2.4,GFRP,No. 3,Spiral,80,52.5,1171,2.25,100,33,852
102,EC4-II,-,-,305,1500,20,73062,Yes,NWC,35,GFRP,3.27,12 No. 5,54.9,1289,2.4,GFRP,No. 3,Spiral,80,52.5,1171,2.25,200,66,378
103,C1-p1,-,-,305,1500,20,73062,Yes,NWC,35,GFRP,2.18,8 No. 5,54.9,1289,2.35,GFRP,No. 3,Hoops,80,52.5,1328,2.5,0,0,2564
104,C2-p2,-,-,305,1500,20,73062,Yes,NWC,35,GFRP,2.18,8 No. 5,54.9,1289,2.35,GFRP,No. 3,Hoops,80,52.5,1328,2.5,25,8,2060
105,C3-p2,-,-,305,1500,20,73062,Yes,NWC,35,GFRP,2.18,8 No. 5,54.9,1289,2.35,GFRP,No. 3,Hoops,80,52.5,1328,2.5,50,16,1511
106,C4-p2,-,-,305,1500,20,73062,Yes,NWC,35,GFRP,2.18,8 No. 5,54.9,1289,2.35,GFRP,No. 3,Hoops,80,52.5,1328,2.5,100,33,776
107,C5-p2,-,-,305,1500,20,73062,Yes,NWC,35,GFRP,2.18,8 No. 5,54.9,1289,2.35,GFRP,No. 3,Hoops,80,52.5,1328,2.5,200,66,366
108,V6,-,-,305,1500,20,73062,Yes,NWC,35.1,GFRP,2.18,8 No. 5 ,54.9,1289,2.35,GFRP,No. 4,Spiral,80,53.9,1310,2.43,0,0,2652
109,V7,-,-,305,1500,20,73062,Yes,NWC,35.1,GFRP,2.18,8 No. 5 ,54.9,1289,2.35,GFRP,No. 4,Spiral,80,53.9,1310,2.43,25,8,2086
110,V8,-,-,305,1500,20,73062,Yes,NWC,35.1,GFRP,2.18,8 No. 5 ,54.9,1289,2.35,GFRP,No. 4,Spiral,80,53.9,1310,2.43,50,16,1483
111,V9,-,-,305,1500,20,73062,Yes,NWC,35.1,GFRP,2.18,8 No. 5 ,54.9,1289,2.35,GFRP,No. 4,Spiral,80,53.9,1310,2.43,100,33,747
112,V10,-,-,305,1500,20,73062,Yes,NWC,35.1,GFRP,2.18,8 No. 5 ,54.9,1289,2.35,GFRP,No. 4,Spiral,80,53.9,1310,2.43,200,66,355
113,HHG0,-,-,300,1500,20,70686,Yes,NWC,70.2,GFRP,2.18,8 No. 5,141,1680,1.19,GFRP,No. 3,Hoops,80,130,1562,1.2,0,0,4689
114,HHG1,-,-,300,1500,20,70686,Yes,NWC,70.2,GFRP,2.18,8 No. 5,141,1680,1.19,GFRP,No. 3,Hoops,80,130,1562,1.2,25,8,3299
115,HHG2,-,-,300,1500,20,70686,Yes,NWC,70.2,GFRP,2.18,8 No. 5,141,1680,1.19,GFRP,No. 3,Hoops,80,130,1562,1.2,50,17,2435
116,HHG3,-,-,300,1500,20,70686,Yes,NWC,70.2,GFRP,2.18,8 No. 5,141,1680,1.19,GFRP,No. 3,Hoops,80,130,1562,1.2,100,33,1045
117,HHG4,-,-,300,1500,20,70686,Yes,NWC,70.2,GFRP,2.18,8 No. 5,141,1680,1.19,GFRP,No. 3,Hoops,80,130,1562,1.2,200,67,438
118,HVG0,-,-,300,1500,20,70686,Yes,NWC,70.2,GFRP,2.18,8 No. 5,141,1680,1.19,GFRP,No. 4,Spiral,80,130,1562,1.2,0,0,4680
119,HVG1,-,-,300,1500,20,70686,Yes,NWC,70.2,GFRP,2.18,8 No. 5,141,1680,1.19,GFRP,No. 4,Spiral,80,130,1562,1.2,25,8,3341
120,HVG2,-,-,300,1500,20,70686,Yes,NWC,70.2,GFRP,2.18,8 No. 5,141,1680,1.19,GFRP,No. 4,Spiral,80,130,1562,1.2,50,17,2460
121,HVG3,-,-,300,1500,20,70686,Yes,NWC,70.2,GFRP,2.18,8 No. 5,141,1680,1.19,GFRP,No. 4,Spiral,80,130,1562,1.2,100,33,1061
122,HVG4,-,-,300,1500,20,70686,Yes,NWC,70.2,GFRP,2.18,8 No. 5,141,1680,1.19,GFRP,No. 4,Spiral,80,130,1562,1.2,200,67,382
123,CGA40,405,405,-,2000,17,164025,No,NWC,42.3,GFRP,1.0,6 No. 6,51.3,1317,2.6,GFRP,No. 3,Ties,152,53.3,1137,2.1,40,10,4760
124,CGA80,405,405,-,2000,17,164025,No,NWC,42.3,GFRP,1.0,6 No. 6,51.3,1317,2.6,GFRP,No. 3,Ties,152,53.3,1137,2.1,80,20,3354
125,CGA160,405,405,-,2000,17,164025,No,NWC,42.3,GFRP,1.0,6 No. 6,51.3,1317,2.6,GFRP,No. 3,Ties,152,53.3,1137,2.1,160,40,1943
126,CGA320,405,405,-,2000,17,164025,No,NWC,42.3,GFRP,1.0,6 No. 6,51.3,1317,2.6,GFRP,No. 3,Ties,152,53.3,1137,2.1,320,79,745
127,CGB40,405,405,-,2000,17,164025,No,NWC,42.3,GFRP,1.0,6 No. 6,48.2,838,1.74,GFRP,No. 3,Ties,152,46,827,1.79,40,10,4417
128,CGB80,405,405,-,2000,17,164025,No,NWC,42.3,GFRP,1.0,6 No. 6,48.2,838,1.74,GFRP,No. 3,Ties,152,46,827,1.79,80,20,3200
129,CGB160,405,405,-,2000,17,164025,No,NWC,42.3,GFRP,1.0,6 No. 6,48.2,838,1.74,GFRP,No. 3,Ties,152,46,827,1.79,160,40,1589
130,CGB320,405,405,-,2000,17,164025,No,NWC,42.3,GFRP,1.0,6 No. 6,48.2,838,1.74,GFRP,No. 3,Ties,152,46,827,1.79,320,79,645
131,G2e10,405,405,-,2000,17,164025,No,NWC,42.3,GFRP,1.4,8 No. 6,51.3,1317,2.6,GFRP,No. 3,Ties,152,53.3,1137,2.1,40,10,5028
132,G2e20,405,405,-,2000,17,164025,No,NWC,42.3,GFRP,1.4,8 No. 6,51.3,1317,2.6,GFRP,No. 3,Ties,152,53.3,1137,2.1,80,20,3627
133,G2e40,405,405,-,2000,17,164025,No,NWC,42.3,GFRP,1.4,8 No. 6,51.3,1317,2.6,GFRP,No. 3,Ties,152,53.3,1137,2.1,160,40,2035
134,G2e80,405,405,-,2000,17,164025,No,NWC,42.3,GFRP,1.4,8 No. 6,51.3,1317,2.6,GFRP,No. 3,Ties,152,53.3,1137,2.1,320,79,914
135,G3e10,405,405,-,2000,17,164025,No,NWC,42.3,GFRP,2.5,8 No. 8,54.4,1122,2.1,GFRP,No. 3,Ties,203,53.3,1137,2.1,40,10,5294
136,G3e20,405,405,-,2000,17,164025,No,NWC,42.3,GFRP,2.5,8 No. 8,54.4,1122,2.1,GFRP,No. 3,Ties,203,53.3,1137,2.1,80,20,3790
137,G3e40,405,405,-,2000,17,164025,No,NWC,42.3,GFRP,2.5,8 No. 8,54.4,1122,2.1,GFRP,No. 3,Ties,203,53.3,1137,2.1,160,40,2110
138,G3e80,405,405,-,2000,17,164025,No,NWC,42.3,GFRP,2.5,8 No. 8,54.4,1122,2.1,GFRP,No. 3,Ties,203,53.3,1137,2.1,320,79,1008
139,CA-1,300,300,-,1800,21,90000,No,NWC,39,GFRP,1.34,6 No.16,39,654,-,Steel,8 mm,Ties,150,200,400,-,0,0,3091
140,CA-2,300,300,-,2400,28,90000,No,NWC,39,GFRP,1.34,6 No.16,39,654,-,Steel,8 mm,Ties,150,200,400,-,0,0,2855
141,CA-3,300,300,-,3600,42,90000,No,NWC,39,GFRP,1.34,6 No.16,39,654,-,Steel,8 mm,Ties,150,200,400,-,0,0,2411
142,CE-1,300,300,-,1800,21,90000,No,NWC,39,GFRP,1.34,6 No.16,39,654,-,Steel,8 mm,Ties,150,200,400,-,60,20,1900
143,CE-2,300,300,-,1800,21,90000,No,NWC,39,GFRP,1.34,6 No.16,39,654,-,Steel,8 mm,Ties,150,200,400,-,150,50,647
144,CE-3,300,300,-,1800,21,90000,No,NWC,39,GFRP,1.34,6 No.16,39,654,-,Steel,8 mm,Ties,150,200,400,-,300,100,306
145,CE-4,300,300,-,2400,28,90000,No,NWC,39,GFRP,1.34,6 No.16,39,654,-,Steel,8 mm,Ties,150,200,400,-,60,20,1702
146,CE-5,300,300,-,3000,35,90000,No,NWC,40.3,GFRP,1.34,6 No.16,39,654,-,Steel,8 mm,Ties,150,200,400,-,60,20,1678
